ID	Language	Experience	Book
111	11	1	Objective-C for Absolute Beginners Gary Bennett, Mitchell Fisher, Brad Lees
111	11	1	Learning Objective-C 2.0 Robert Clair
112	11	2	Programming in Objective-C Stephen Kochan
112	11	2	Objective-C Programming The Big Nerd Ranch Guide Aaron Hillegass
112	11	2	Essential Objective-C Krzysztof Kowalczyk
113	11	3	Effective Objective-C 2.0 Matt Galloway 
113	11	3	Pro Objective-C Keith Lee
113	11	3	Objective-C Pocket Reference Andrew Duncan
121	12	1	Sams Teach Yourself Visual Basic James Foxalll
121	12	1	Visual Basic in Easy Steps Mike McGrath
121	12	1	Beginning Visual Basic 2015 Bryan Newsome
122	12	2	Visual Basic .NET Programmer’s Cookbook Matthew MacDonald
122	12	2	Programming with Microsoft Visual Basic 2015 Diane Zak
122	12	2	Visual Basic 2015 Unleashed Alessandro Del Sole
123	12	3	Advanced Visual Basic .Net: Programming Web and Desktop Applications in Ado.Net and Asp.Net David Gefen, Chittibabu Govindarajulu
123	12	3	Advanced Programming Using Visual Basic .NET Julia Case Bradley
123	12	3	Advanced Programming Using Visual Basic.NET Julia Case Bradley, Anita Millspaugh
131	13	1	Think Perl 6 Laurent Rosenfeld, Allen Downey
131	13	1	Learning Perl Randal L. Schwartz, brian d foy, Tom Phoenix
131	13	1	Beginning Perl Programming William "Bo" Rothwell
132	13	2	Intermediate Perl Randal L. Schwartz, brian d foy, Tom Phoenix
132	13	2	Perl Cookbook Tom Christiansen, Nathan Torkington
132	13	2	Programming Perl Brian d Foy, Tom Christiansen, Jon Orwant, Larry Wall
133	13	3	Pro Perl Programming William "Bo" Rothwell
133	13	3	Higher-Order Perl: Transforming Programs with Programs by Mark Jason Dominus
133	13	3	Mastering Perl: Creating Professional Programs with Perl Brian d foy
141	14	1	Shell Programming and Bash Scripting: Ultimate Beginners Guide Book Robert Collins
141	14	1	Learning the bash Shell Cameron Newham
141	14	1	Shell Scripting Jason Cannon
142	14	2	bash Cookbook: Solutions and Examples for bash Users Carl Albing and JP Vossen
142	14	2	Bash Pocket Reference Arnold Robbins
142	14	2	Linux Command Line and Shell Scripting Bible Richard Blum and Christine Bresnahan
143	14	3	Mastering Linux Shell Scripting: A practical guide to Linux command-line, Bash scripting, and Shell programming Mokhtar Ebrahim, Andrew Mallett
143	14	3	Advanced Bash Scripting Guide - Volume 1: An in-depth exploration of the art of shell scripting Mendel Cooper 
143	14	3	Mastering Unix Shell Scripting Randal Michael
151	15	1	Head First HTML and CSS Elizabeth Robson and Eric Freeman
151	15	1	HTML and CSS Quickstart Guide David DuRocher
151	15	1	A Smarter Way to Learn HTML & CSS: Learn it faster. Remember it longer – by Mark Myers
152	15	2	Web Design Playground: HTML & CSS the Interactive Way by Paul McFedries
152	15	2	HTML, CSS, and JavaScript All in One Julie Meloni, Jennifer Kyrnin
152	15	2	The Zen of CSS Design: Visual Enlightenment for the Web Dave Shea, Molly E. Holzschlag
